folder,file,isCopy,title,size,printer,version,lastBy,forms,bytes
SHABUYA,SHB_BF_SHT_PLATE_CROSS_CUT,false,SHB_BF_SHT_PLATE_CROSS_CUT,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,201659
SHABUYA,SHB_BF_SHT_PLATE_ROLL BLOCK - Copy,true,SHB_BF_SHT_PLATE_ROLL BLOCK,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,262345
SHABUYA,SHB_BF_SHT_PLATE_ROLL BLOCK,false,SHB_BF_SHT_PLATE_ROLL BLOCK,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,266561
SHABUYA,SHB_BLADE MEAT,false,SHB_BLADE MEAT,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,799707
SHABUYA,SHB_BNLS LAMB ROLL,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,1016656
SHABUYA,SHB_CHIX_THIGH,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,443541
SHABUYA,SHB_CROSS_RIB - 1 PC,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,627801
SHABUYA,SHB_CROSS_RIB - Copy,true,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,787753
SHABUYA,SHB_CROSS_RIB,false,Document1,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,783895
SHABUYA,SHB_NON P12 PK_COLLAR BUTT_CT,false,SHB_PK_COLLAR BUTT_CT,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,265348
SHABUYA,SHB_PK_COLLAR BUTT_CT,false,SHB_PK_COLLAR BUTT_CT,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,306967
SHABUYA,SHB_PORK BELLY CROSS CUT,false,SHB_BLADE MEAT,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,298826
SHABUYA,SHB_PORK BELLY ROLL_1.2 CUT - Copy,true,SHB_BLADE MEAT,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,256099
SHABUYA,SHB_PORK BELLY ROLL_1.2 CUT,false,SHB_BLADE MEAT,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,302550
SHABUYA,SHB_PORK BELLY_1.2 CUT,false,SHB_PORK BELLY_1.2 CUT,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,307465
SHABUYA,SHB_PORK BUTT_ ROLL,false,SHB_PK_COLLAR BUTT_CT,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,258485
SHABUYA,SHB_PORK_ BUTT,false,SHB_PK_COLLAR BUTT_CT,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R7,DELL,1,237485
SHABUYA,SHB_RIB EYE BLOCK - Copy,true,SHB_RIB EYE BLOCK-G,"6"" x 4""",ZDesigner ZD421-203dpi ZPL,2022 R8,MeatPAPA,1,807289
